COOPERACIÓN;CAPACITADOS ;Vigencia automotor;Firmaron convenio Automotor;NOTA (ACARA Y DNRPA);ORDENANZA AUTOMOTOR;ADENDAS;CCI EXPRÉS;ORDENANZA CCI;MONOTRIBUTO UNIFICADO;ORDENANZA MUC;ANEXO MUC ;NOMENCLADOR;Interesados en firmar Inmobiliario Córdoba;LOCALIDAD;DEPARTAMENTO;CUIT;POBLACIÓN 
SI ;SI;Sin convenio;NO;;;;SI;SI;01/10/2018;SI;SI;SI;;BULNES;RIO CUARTO;30999100887;1051
SI ;SI;Sin convenio;NO;;;;;;;;;;;CABALANGO;PUNILLA;30678666293;475
SI ;SI;Sin convenio;NO;;;;SI;SI;01/04/2019;SI;;SI;;CALCHIN;RIO SEGUNDO;30669378870;2447
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;CALCHIN OESTE;RIO SEGUNDO;30669377955;765
SI ;SI;Sin convenio;NO;;;;SI;SI;01/09/2018;SI;SI;SI;;CAMILO ALDAO;MARCOS JUAREZ;30999066891;5209
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 27.8;SI; ;SI;Pendiente;SI;Pendiente;;CAMINIAGA;SOBREMONTE;30682242201;362
SI ;SI;2020;SI;SI;SI;SI;SI;SI;01/02/2019;SI;;SI;SI;CANALS;UNION;30668850495;8676
SI ;NO;Sin convenio;NO;;;;SI;;SI;Pendiente;Pendiente;Pendiente;;CANDELARIA SUD;TOTORAL;30682304967;125
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;SI;SI;Pendiente;;CAÑADA DE LUQUE;TOTORAL;30668353033;1217
SI ;NO;Sin convenio;NO;;;;;;;;;;;CAÑADA DE MACHADO;RIO PRIMERO;30680982011;203
SI ;NO;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;SI;;;Pendiente;;CAÑADA DE RIO PINTO;ISCHILIN;30682312080;193
SI ;SI;Sin convenio;NO;;;;;;;;;;;CAÑADA DEL SAUCE;CALAMUCHITA;30668679516;75
SI ;SI;Sin convenio;NO;;;;;;;;;;;CAP.GENERAL. B O'HIGGINS;MARCOS JUAREZ;30668207967;497
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;CAPILLA DE LOS REMEDIOS;RIO PRIMERO;30682313079;342
SI ;NO;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;;CAPILLA DE SITON;TOTORAL;30680995563;550
SI ;SI;2022;SI;SI;SI;si;;;;;;;;CAPILLA DEL CARMEN;RIO SEGUNDO;30668542650;556
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;2019-03-01 // Solicitan la baja mediante nota a la privada. Se confirma fecha de baja para el 1/04/2021;SI;SI;SI;;CAPILLA DEL MONTE;PUNILLA;30668446775;11281
SI ;SI;No Vigente;SI;SI;Pendiente;Pendiente;SI;SI;01/11/2018;SI;;SI;;CARNERILLO;JUAREZ CELMAN;30999226589;1928
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;CARRILOBO;RIO SEGUNDO;30999226104;1772
SI ;SI;Sin convenio;NO;;;;SI;SI;SI;Pendiente; SI;Pendiente;;CASA GRANDE;PUNILLA;30678731885;701
NO;NO;Sin convenio;NO;;;;SI;SI;;;;;;CAVANAGH;MARCOS JUAREZ;30999121523;1240
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;01/12/2018;SI;SI;SI;;CERRO COLORADO;RIO SECO;30678722460;285
SI ;SI;2018;SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;SI;Pendiente;Pendiente;Pendiente;;CHAJAN;RIO CUARTO;30669116655;767
SI ;SI;Sin convenio;NO;;;;;;;;;;;CHALACEA;RIO PRIMERO;30685385909;180
SI ;SI WEB;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;;;;;;;CHANCANI;POCHO;30669254608;463
SI ;NO;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;;CHAÑAR VIEJO;RIO SECO;30680959052;186
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 18.6;SI;;SI;Pendiente;SI;Pendiente;;CHARBONIER;PUNILLA;30668542723;553
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;01/01/2019;SI;SI;SI;;CHARRAS;JUAREZ CELMAN;30999099927;1117
SI ;SI;Sin convenio;NO;;;;SI;;;;;;;CHAZON;GENERAL SAN MARTIN;30999113954;1080
SI ;SI;2018;SI;Pendiente;SI;ENVIO DNRPA 18.6;SI;SI;01/12/2018;SI;SI;SI;VIGENTE;CHILIBROSTE;UNION;30668288061;614
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;CHUCUL;RIO CUARTO;30585573120;304
SI ;NO;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;;CHUÑA;ISCHILIN;30682249613;563
SI ;SI;Sin convenio;NO;;;;;;;;;;;CHUÑA HUASI;SOBREMONTE;30682309608;457
SI ;SI;No Vigente;SI;SI;Pendiente;Pendiente;;;SI;Pendiente;SI;Pendiente;;CHURQUI CAÑADA;TULUMBA;30692951375;58
SI ;SI WEB;2020;SI;SI;SI;SI;SI;;SI;Pendiente;Pendiente;Pendiente;;CIENAGA DEL CORO;MINAS;30668557704;718
SI ;SI;Sin convenio;NO;;;;SI;SI;01/07/2020;SI;SI;SI;;CINTRA;UNION;30668239001;1205
SI ;SI;Sin convenio;NO;;;;;;;;;;;COLAZO;RIO SEGUNDO;30999230020;1634
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;;SI;Pendiente;SI;Pendiente;;COLONIA ALMADA;TERCERO ARRIBA;30668670055;541
SI ;SI WEB;Sin convenio;NO;;;;;;;;;;;COLONIA ANITA;SAN JUSTO;30669191401;8
SI ;SI WEB;Sin convenio;NO;;;;;;;;;;;COLONIA BARGE;MARCOS JUAREZ;30668257840;175
SI ;NO;2018;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;;;;;;COLONIA BISMARCK;UNION;30668254329;373
NO;NO;Sin convenio;NO;;;;;;;;;;;COLONIA BREMEN;UNION;30668846331;117
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;01/02/2019;SI;;SI;SI;COLONIA CAROYA;COLON;30999227712;20821
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;SI;Pendiente;Pendiente;Pendiente;;COLONIA ITALIANA;MARCOS JUAREZ;30668443490;753
SI ;NO;Sin convenio;NO;;;;;;;;;;;COLONIA ITURRASPE;SAN JUSTO;30669195156;6
SI ;SI;No Vigente;SI;SI;Pendiente;SI;;;SI;Pendiente;SI;Pendiente;;COLONIA LAS CUATRO ESQUINAS;RIO PRIMERO;33680954009;115
SI ;SI;Sin convenio;NO;                                                                            ;;;SI;SI;;;;;;COLONIA LAS PICHANAS;SAN JUSTO;30669189490;181
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;01/04/2019;SI;SI;SI;;COLONIA MARINA;SAN JUSTO;30669163947;1153
SI ;SI;Sin convenio;NO;;;;SI;;;;;;;COLONIA PROSPERIDAD;SAN JUSTO;30669169988;377
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;01/12/2018;SI;SI;SI;;COLONIA SAN BARTOLOME;SAN JUSTO;30999230268;1291
SI ;SI;Sin convenio;NO;;;;SI;SI;01/07/2021;SI;SI;SI;;COLONIA SAN PEDRO;SAN JUSTO;30669207170;151
SI ;SI;Sin convenio;NO;;;;;;;;;;;COLONIA TIROLESA;COLON;30668404533;5342
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;;;;;;COLONIA VALTELINA;SAN JUSTO;30669187587;190
SI ;SI WEB;2021;SI;SI;SI;SI;;;;;;;;COLONIA VICENTE AGUERO;COLON;30652136636;352
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 18.6;;;;;;;;COLONIA VIDELA;RIO SEGUNDO;30681033102;78
SI ;SI;Sin convenio;NO;;;;SI;SI;01/12/2020;SI;SI;SI;;COLONIA VIGNAUD;SAN JUSTO;30669208479;727
SI ;SI;Sin convenio;NO;;SI;;SI;SI;;;;;;COMECHINGONES;RIO PRIMERO;30999296048;366
SI ;NO;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;;CONLARA;SAN JAVIER;30669246656;508
NO;NO;Sin convenio;NO;;;;;;;;;;;COPACABANA;ISCHILIN;30682278788;74
SI ;SI;Sin convenio;NO;;;;;;01/01/2020;;;;;CORDOBA;CAPITAL;30999074843;1329604
SI ;SI;Sin convenio;NO;;;;;;;;;;;CORONEL BAIGORRIA;RIO CUARTO;30669133339;1532
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;CORONEL MOLDES;RIO CUARTO;33999100339;9010
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;01/09/2018;SI;;SI;;CORRAL DE BUSTOS-IFFLINGER;MARCOS JUAREZ;30999065976;10426
SI ;SI;2018;SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;01/01/2019;SI;SI;SI;SI;CORRALITO;TERCERO ARRIBA;30668675863;1757
SI ;SI;No Vigente;SI;SI;Pendiente;Pendiente;;;01/03/2021;SI;SI;SI;;COSQUIN;PUNILLA;30999013704;19815
SI ;SI;2021;SI;SI;SI;SI;;;01/09/2018;SI;SI;SI;SI;COSTASACATE;RIO SEGUNDO;33680941179;1485
SI ;SI;2018;SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;01/04/2020;SI;SI;SI;;CRUZ ALTA;MARCOS JUAREZ;30999065801;7200
SI ;SI;Sin convenio;NO;;;;;;;;;;;CRUZ DE CAÑA;CRUZ DEL EJE;30668562546;352
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;Pendiente;Pendiente;;CRUZ DEL EJE;CRUZ DEL EJE;30999135680;30844
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 18.6;;;SI;Pendiente;SI;Pendiente;;CUESTA BLANCA;PUNILLA;30678672021;510
SI ;SI;Sin convenio;NO;;;;;;;;;;;DALMACIO VELEZ;TERCERO ARRIBA;30999098009;1565
SI ;NO;Sin convenio;NO;;;;;;;;;;;DEAN FUNES;ISCHILIN;30656355081;21518
SI ;SI;2021;SI;SI;SI;SI;;;;;;;;DEL CAMPILLO;GENERAL ROCA;30999098866;3508
SI ;SI;Sin convenio;NO;;;;;;;;;;;DESPEÑADEROS;SANTA MARIA;30999067715;5988
SI ;SI;Sin convenio;NO;;;;SI;SI;01/03/2021;SI;SI;SI;;DEVOTO;SAN JUSTO;30669166393;6133
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;;;;;;DIEGO DE ROJAS;RIO PRIMERO;30677596135;509
SI ;NO;2019;SI;SI;SI;ENVIO DNRPA 18.6;;;SI;SI;SI;Pendiente;;DIQUE CHICO;SANTA MARIA;33677614299;259
SI ;SI;2018;SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;01/10/2018;SI;SI;SI;;EL ARAÑADO;SAN JUSTO;30669190103;1776
NO;NO;Sin convenio;NO;;;;;;;;;;;EL BRETE;CRUZ DEL EJE;33668541599;2327
SI ;SI WEB;Sin convenio;NO;;;;;;;;;;;EL CHACHO;MINAS;30668554802;401
SI ;NO;Sin convenio;NO;;;;;;;;;;;EL CRISPIN;RIO PRIMERO;30680992599;220
SI ;SI;2018;SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;01/03/2019;SI;SI;SI;;EL FORTIN;SAN JUSTO;30657321865;1648
SI ;SI;2020;SI;SI;SI;SI;SI;SI;;;;;;EL MANZANO;COLON;30678663537;1298
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;Pendiente;Pendiente;;EL RASTREADOR;JUAREZ CELMAN;30668848245;85
NO;NO;Sin convenio;NO;;;;;;;;;;;EL RODEO;TULUMBA;30682273662;236
SI ;SI;No Vigente;SI;Pendiente;Pendiente;Pendiente;SI;SI;01/01/2021;SI;SI;SI;;EL TIO;SAN JUSTO;30688834925;1920
SI ;SI;2021;SI;SI;SI;SI;SI;;;;;;;ELENA;RIO CUARTO;30999050200;3007
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 27.8;SI;;SI;Pendiente;SI;Pendiente;;EMBALSE;CALAMUCHITA;33668701359;9107
SI ;NO;2018;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;;;;;;ESQUINA;RIO PRIMERO;30689774144;273
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;ESTACION GENERAL PAZ;COLON;30678654422;2253
SI ;SI;Sin convenio;NO;;;;;;;;;;;ESTACION JUAREZ CELMAN;COLON;30655791635;12129
SI ;SI WEB;2021;SI;SI;SI;SI;;;SI;Pendiente;Pendiente;Pendiente;;ESTANCIA DE GUADALUPE;MINAS;30668549515;522
SI ;SI;Sin convenio;NO;;;;;;;;;;;ESTANCIA VIEJA;PUNILLA;30678688165;909
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;ETRURIA;GENERAL SAN MARTIN;30999114012;4130
SI ;NO;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;;01/11/2020;SI;SI;SI;;EUFRASIO LOZA;RIO SECO;30682234497;166
SI ;SI;Sin convenio;NO;;;;;;;;;;;FALDA DEL CARMEN;SANTA MARIA;30681018405;610
SI ;SI;Sin convenio;NO;;;;;;;;;;;FREYRE;SAN JUSTO;30669189180;6922
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;GENERAL BALDISSERA;MARCOS JUAREZ;30999066107;2397
SI ;SI;Sin convenio;NO;;;;;;01/03/2019;SI;SI;SI;;GENERAL CABRERA;JUAREZ CELMAN;30999051436;11837
SI ;SI;Sin convenio;NO;;;;SI;SI;01/02/2019;SI;SI;SI;;GENERAL DEHEZA;JUAREZ CELMAN;30999051363;11083
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;01/04/2019;SI;SI;SI;;GENERAL FOTHERINGHAM;TERCERO ARRIBA;30668673712;313
SI ;SI;Sin convenio;NO;;;;;;01/01/2021;SI;SI;SI;;GENERAL LEVALLE;ROQUE SAENZ PEÑA;30999051673;5718
SI ;SI;2018;SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;01/03/2020;SI;SI;SI;;GENERAL ROCA;MARCOS JUAREZ;30668939836;2785
NO;NO;No Vigente;SI;SI;Pendiente;Pendiente;;;SI;Pendiente;Pendiente;Pendiente;;GUANACO MUERTO;CRUZ DEL EJE;30668538289;554
NO;NO;Sin convenio;NO;;;;;;;;;;;GUASAPAMPA;MINAS;33668550849;241
SI ;SI;Sin convenio;NO;;;;;;;;;;;GUATIMOZIN;MARCOS JUAREZ;30999116163;2475
NO;NO;Sin convenio;NO;;;;;;;;;;;GUTEMBERG;RIO SECO;30682234322;691
SI ;SI;Sin convenio;NO;;;;;;;;;;;HERNANDO;TERCERO ARRIBA;30999050448;10284
SI ;SI;2018;SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;01/09/2018;SI;SI;SI;;HUANCHILLA;JUAREZ CELMAN;30999099781;1147
SI ;SI;Sin convenio;NO;;;;;;;;;;;HUERTA GRANDE;PUNILLA;30651167198;5933
SI ;SI;Sin convenio;NO;;;;;;;;;;;HUINCA RENANCO;GENERAL ROCA;30999101492;9487
SI ;SI;2021;SI;SI;SI;SI;SI;;;;;;;ICHO CRUZ;PUNILLA;30668261767;1921
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;SI;SI;SI;Pendiente;;IDIAZABAL;UNION;30677601813;1556
SI ;SI;Sin convenio;NO;;;;;;;;;;;IMPIRA;RIO SEGUNDO;30668448379;163
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;01/01/2019;SI;SI;SI;;INRIVILLE;MARCOS JUAREZ;30999121760;3722
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 18.6;                                                                                         ;SI;;;;;;ISLA VERDE;MARCOS JUAREZ;30999098556;4390
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;01/02/2020;SI;SI;SI;;ITALO;GENERAL ROCA;30999099161;1120
SI ;SI;Sin convenio;NO;;;;;;;;;;;JAMES CRAIK;TERCERO ARRIBA;30999122201;5250
SI ;SI;2020;SI;SI;SI;SI;SI;SI;;;;;;JESUS MARIA;COLON;30999101328;31864
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;JOVITA;GENERAL ROCA;30999115868;4823
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;JUSTINIANO POSSE;UNION;33689759519;8569
SI ;NO;2020;SI;SI;SI;SI;;;;;;;;KILOMETRO 658;RIO PRIMERO;30668561310;1033
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;Pendiente;Pendiente;;LA BATEA;CRUZ DEL EJE;30999038715;180
SI ;SI;2020;SI;SI;SI;SI;SI;SI;;;;;;LA CALERA;COLON;30999050138;32227
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 18.6;SI;;SI;Pendiente;Pendiente;Pendiente;;LA CARLOTA;JUAREZ CELMAN;30669126448;12722
SI ;SI WEB;Sin convenio;NO;;;;SI;SI;SI;Pendiente;Pendiente;Pendiente;;"LA CAROLINA ""EL POTOSI""";RIO CUARTO;30999100402;165
SI ;SI;Sin convenio;NO;;;;;;;;;;;LA CAUTIVA;RIO CUARTO;30668752531;1014
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;01/12/2020;SI;SI;SI;;LA CESIRA;ROQUE SAENZ PEÑA;30999101700;1318
SI ;SI WEB;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;;SI;Pendiente;SI;Pendiente;;LA CRUZ;CALAMUCHITA;30999025575;1551
SI ;SI;2018;SI;SI;SI;SI;SI;SI;01/02/2019;SI;SI;SI;;LA CUMBRE;PUNILLA;30681015740;7761
SI ;SI;Baja de convenio 01.01.2021;SI;SI;SI;ENVIO DNRPA 27.8;SI;;SI;Pendiente;SI;Pendiente;;LA CUMBRECITA;CALAMUCHITA;30999025338;776
SI ;SI;Sin convenio;NO;;;;SI;;;;;;;LA FALDA;PUNILLA;30654689403;16379
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;01/01/2019;SI;SI;SI;;LA FRANCIA;SAN JUSTO;33678663609;3804
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;SI;Pendiente;Pendiente;Pendiente;;LA GRANJA;COLON;30668557879;3182
SI ;NO;Sin convenio;NO;;;;;;;;;;;LA HIGUERA;CRUZ DEL EJE;30999114187;411
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;SI;Pendiente;Pendiente;Pendiente;;LA LAGUNA;GENERAL SAN MARTIN;30685335642;1524
NO;SI;Sin convenio;NO;;;;;;;;;;;LA PAISANITA;SANTA MARIA;30669355463;155
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;01/11/2018;SI;SI;SI;;LA PALESTINA;GENERAL SAN MARTIN;30682273352;502
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;LA PAMPA;TOTORAL;30651153278;952
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;01/02/2019;SI;SI;SI;;LA PAQUITA;SAN JUSTO;30999131863;964
SI ;SI;2018;SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;SI;Pendiente;Pendiente;Pendiente;;LA PARA;RIO PRIMERO;30669246893;3489
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;;SI;Pendiente;SI;Pendiente;;LA PAZ;SAN JAVIER;30689768241;3580
;mpalacio306@hotmail.com;;Firmada y guardada.;;;;;;;;;;;;;;
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;LA PLAYOSA;GENERAL SAN MARTIN;30669245595;2757
NO;NO;Sin convenio;NO;;;;;;;;;;;LA POBLACION;SAN JAVIER;30680975678;535
SI ;SI;Sin convenio;NO;;;;SI;;;;;;;LA POSTA;RIO PRIMERO;30999132541;241
SI ;SI;Sin convenio;NO;;;;SI;SI;01/04/2020;SI;SI;SI;;LA PUERTA;RIO PRIMERO;30681009465;2185
NO;NO;Sin convenio;NO;;;;;;;;;;;LA QUINTA;RIO PRIMERO;30685338781;208
SI ;NO;Sin convenio;NO;;;;;;;;;;;LA RANCHERITA Y LAS CASCADAS;SANTA MARIA;33678730969;350
SI ;NO;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;SI;Pendiente;SI;Pendiente;;LA RINCONADA;RIO SECO;30682282777;217
NO;NO;Sin convenio;NO;;;;;;;;;;;LA SERRANITA;SANTA MARIA;30669149618;436
SI ;SI WEB;2018;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;01/09/2018;SI;SI;SI;;LA TORDILLA;SAN JUSTO;30999063515;1257
SI ;SI;Sin convenio;NO;;;;SI;SI;01/01/2019;SI;SI;SI;;LABORDE;UNION;30999098793;5957
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;LABOULAYE;ROQUE SAENZ PEÑA;33999018519;20658
SI ;SI;2018;SI;Pendiente;SI;ENVIO DNRPA 18.6;;;01/12/2018;SI;SI;SI;;LAGUNA LARGA;RIO SEGUNDO;30999100577;7487
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;01/04/2020;SI;SI;SI;;LAS ACEQUIAS;RIO CUARTO;30669122248;2544
SI ;SI;Sin convenio;NO;;;;;;;;;;;LAS ALBAHACAS;RIO CUARTO;30668352975;342
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;01/01/2019;SI;SI;SI;;LAS ARRIAS;TULUMBA;33668654989;1179
SI ;SI;2020;SI;SI;SI;SI;SI;;;;;;;LAS BAJADAS;CALAMUCHITA;30668676541;141
